order_id,customer_id,order_date,order_amount,payment_method
1,75209,2024-09-11,3175.51,Debit Card
2,83631,2024-08-07,2339.67,Bank Transfer
3,50838,2024-05-17,1224.67,Bank Transfer
4,72332,2024-02-07,983.34,Bank Transfer
5,35337,2025-10-04,3647.34,PayPal
6,11891,2024-03-31,1534.18,Bank Transfer
7,2499,2025-01-13,357.2,PayPal
8,85064,2023-12-11,4840.81,Credit Card
9,1929,2026-04-18,4125.49,UPI
10,50308,2024-10-09,732.15,UPI
11,35450,2024-04-01,4893.47,UPI
12,64364,2024-09-03,1703.59,Bank Transfer
13,23680,2025-09-08,4282.0,UPI
14,39684,2025-03-02,2627.96,PayPal
15,29691,2024-10-11,4624.9,PayPal
16,79395,2025-03-01,4001.9,PayPal
17,94636,2025-09-08,4929.53,Bank Transfer
18,11462,2024-01-09,4109.15,UPI
19,16899,2024-09-19,1262.59,Bank Transfer
20,81956,2024-01-23,3454.95,Debit Card
21,28785,2025-06-28,1702.32,Bank Transfer
22,35883,2024-12-06,1803.62,Credit Card
23,43939,2025-06-04,3634.89,Credit Card
24,61812,2026-05-25,1484.71,UPI
25,59353,2025-07-11,2676.43,Bank Transfer
26,52166,2026-04-11,4855.33,Credit Card
27,20738,2024-08-05,4780.49,PayPal
28,47711,2024-09-26,266.39,PayPal
29,54719,2026-02-23,4258.31,Credit Card
30,25658,2023-10-02,3596.0,Bank Transfer
31,8652,2025-10-16,4752.04,UPI
32,11380,2025-01-12,1431.67,Debit Card
33,9868,2024-05-05,81.98,UPI
34,7610,2023-08-02,746.59,Debit Card
35,1796,2024-05-09,370.66,UPI
36,80246,2025-05-13,443.49,Bank Transfer
37,18114,2026-04-17,3279.85,Bank Transfer
38,77108,2024-09-08,1840.5,Bank Transfer
39,22304,2024-04-26,1129.07,Credit Card
40,51800,2023-09-08,128.8,UPI
41,49906,2024-05-21,480.22,Bank Transfer
42,10535,2025-10-07,846.27,PayPal
43,34025,2024-05-26,2291.91,Credit Card
44,60439,2026-03-10,4758.99,Bank Transfer
45,49465,2026-05-15,4142.06,Debit Card
46,28317,2024-02-02,4837.95,UPI
47,94756,2024-12-10,337.82,Debit Card
48,7316,2024-02-10,4592.97,PayPal
49,80953,2024-04-28,187.18,Credit Card
50,39466,2025-05-12,2184.52,PayPal
51,34784,2023-09-19,1173.45,Credit Card
52,39601,2025-06-20,532.32,Debit Card
53,79733,2026-03-16,3749.75,Bank Transfer
54,9843,2024-11-24,961.19,Credit Card
